reviewer,id,data.list.id,title,created,iso3,url
,127,468150,Atiende Sedesol a 19 Estados por heladas y sequía,1/3/12,mex,http://reliefweb.int/node/468150
,328,468244,Ban subraya poder de la gente y las alianzas ante grandes retos mundiales,1/4/12,wld,http://reliefweb.int/node/468244
,529,468930,Iran group say US responsible for members in Iraq,1/6/12,irq,http://reliefweb.int/node/468930
,573,468860,Guatemala: Mapa de Temperaturas Mínimas - 6 de Enero 2012,1/6/12,gtm,http://reliefweb.int/node/468860
,730,469001,"FACTBOX-Security developments in Iraq, January 8",1/8/12,irq,http://reliefweb.int/node/469001
,774,469254,Drought increasing conflict among pastoralist communities,1/9/12,ken,http://reliefweb.int/node/469254
,975,469477,"Haïti, réinventer l'avenir",1/10/12,hti,http://reliefweb.int/node/469477
,1176,469690,Report of the Chairperson of the Commission on the partnership between the African Union and the United Nations on Peace and Security,1/11/12,wld,http://reliefweb.int/node/469690
,1377,470001,Pillay urges concerted effort by Nigerian leaders to halt spiralling sectarian violence,1/12/12,nga,http://reliefweb.int/node/470001
,1578,470208,Se levanta Alerta Roja en comuna de Quintero y se declara Alerta Amarilla por incendio forestal,1/13/12,chl,http://reliefweb.int/node/470208
,1779,470547,Field diary: UNICEF prepares to help victims of conflict in South Sudan,1/16/12,ssd,http://reliefweb.int/node/470547
,1980,471243,Solidarity and support in the shadow of acute malnutrition in Mauritania,1/18/12,mrt,http://reliefweb.int/node/471243
,2181,471423,East Africa: so was it all too late?,1/19/12,som,http://reliefweb.int/node/471423
,2382,471592,ABSDF to hold peace talks with government,1/20/12,mmr,http://reliefweb.int/node/471592
,2583,471868,Airlifting of returnees from Khartoum starts on Sunday,1/23/12,ssd,http://reliefweb.int/node/471868
,2784,472647,"Peace process, protection focus of JSR Gambari’s visit to Darfur’s regions",1/25/12,sdn,http://reliefweb.int/node/472647
,2985,472896,Police in DR Congo disperse Tshisekedi supporters,1/26/12,cod,http://reliefweb.int/node/472896
,3186,473137,Tribal clashes kill at least 21 in northern Kenya,1/27/12,ken,http://reliefweb.int/node/473137
,3387,473535,Paraguay: Drought - DREF Operation Bulletin (MDRPY011),1/30/12,pry,http://reliefweb.int/node/473535
,3588,473847,Afghan refugees to leave Pakistan by end of year,1/31/12,afg,http://reliefweb.int/node/473847
,3789,474113,Anti-polio campaign to cover over 2 million children in Balochistan,2/1/12,pak,http://reliefweb.int/node/474113
,3990,480422,"Health Highlights - Week 5, 28 January - 3 February 2012",2/2/12,sdn,http://reliefweb.int/node/480422
,4191,474488,"TSAG establishes new Focus Group on Disaster Relief Systems, Network Resilience and Recovery",2/3/12,wld,http://reliefweb.int/node/474488
,4392,474832,Three Jonglei counties being ignored says MP,2/6/12,ssd,http://reliefweb.int/node/474832
,4593,475156,Crises in a new world order. Challenging the humanitarian project [EN/AR],2/7/12,wld,http://reliefweb.int/node/475156
,4794,475938,Une veuve réfugiée dépasse ses peurs en exil en RDC,2/9/12,cod,http://reliefweb.int/node/475938
,4995,476105,Secondary Data Review: Horn of Africa #3 23.09.2011 – 15.12.2011,2/10/12,som,http://reliefweb.int/node/476105
,5196,476430,RCA accelerates relief operations to aid Syrian refugees in Jordan,2/13/12,jor,http://reliefweb.int/node/476430
,5397,476666,"Emergency Situation in Serbia due to heavy snowfalls and extreme cold - Situation Report, No8",2/14/12,srb,http://reliefweb.int/node/476666
,5598,476884,La Conagua trabaja un plan de manejo de sequía que incluya la participación de la sociedad,2/15/12,mex,http://reliefweb.int/node/476884
,5799,476381,DEC publishes independent evaluation of East Africa response,2/16/12,som,http://reliefweb.int/node/476381
,6000,477959,Red Cross seeks way to deliver aid in Syria,2/20/12,syr,http://reliefweb.int/node/477959
,6201,478125,Brazil to fund food purchasing in five African countries,2/21/12,eth,http://reliefweb.int/node/478125
,6402,478276,QC delegation to Palestine,2/22/12,pse,http://reliefweb.int/node/478276
,6603,478618,Norway contributes 11 million kroner for Restoring Dignity in Lebanon,2/23/12,lbn,http://reliefweb.int/node/478618
,6804,478846,"Rapid Response Payment Request No. 03/2012 for assistance to Sudanese refugees arriving in Kakuma Camp, Kenya",2/24/12,ken,http://reliefweb.int/node/478846
,7005,479267,Somali teens get chance to complete education,2/27/12,som,http://reliefweb.int/node/479267
,7206,479487,Red Cross gets aid to Syria cities but needs truce,2/28/12,syr,http://reliefweb.int/node/479487
,7407,487023,British Red Cross Expanded Support on DRR,2/29/12,npl,http://reliefweb.int/node/487023
,7608,480095,Avanza política pública de atención a desplazados: Bruce Mac Master,3/1/12,col,http://reliefweb.int/node/480095
,7809,485314,"Gaza Strip - Land Crossing Activities: Crossing Status Weekly Report - February 26 to March 3, 2012",3/2/12,pse,http://reliefweb.int/node/485314
,8010,480699,UN-SPIDER February 2012 Updates,3/5/12,wld,http://reliefweb.int/node/480699
,8211,481046,Displaced people return to Abyei area - but humanitarian support is slow to follow,3/6/12,sdn,http://reliefweb.int/node/481046
,8412,481358,"Gunmen attack prison, police station in northern Nigeria",3/7/12,nga,http://reliefweb.int/node/481358
,8613,481647,Danish companies create hope for women in Kabul,3/8/12,afg,http://reliefweb.int/node/481647
,8814,481959,Working to achieve a brighter future for women heading households,3/9/12,irq,http://reliefweb.int/node/481959
,9015,482444,Red hospitalaria en alerta amarilla por influenza A H1N1,3/12/12,gtm,http://reliefweb.int/node/482444
,9216,482142,"15,000 People Assisted By Habitat For Humanity In Japan",3/12/12,jpn,http://reliefweb.int/node/482142
,9417,482454,Reducing Malnutrition Through Prevention,3/13/12,tcd,http://reliefweb.int/node/482454
,9618,483312,Avis conjoint sur la situation alimentaire et nutritionnelle au Sahel et en Afrique de l’Ouest,3/15/12,bfa,http://reliefweb.int/node/483312
